Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
194.00	1.0000	5.3048	0.18851	107.15	126.26	1.0193	0.14996	0.25212	178.51	3.0802	1.6726e-05	0.0061860	vapor
195.00	1.0000	5.2770	0.18950	107.31	126.51	1.0205	0.14993	0.25205	178.98	3.0516	1.6811e-05	0.0062190	vapor
196.00	1.0000	5.2495	0.19050	107.46	126.76	1.0218	0.14991	0.25198	179.45	3.0236	1.6897e-05	0.0062518	vapor
197.00	1.0000	5.2222	0.19149	107.61	127.01	1.0231	0.14989	0.25192	179.92	2.9959	1.6983e-05	0.0062847	vapor
198.00	1.0000	5.1953	0.19248	107.76	127.26	1.0244	0.14986	0.25186	180.38	2.9688	1.7068e-05	0.0063175	vapor
199.00	1.0000	5.1686	0.19347	107.91	127.52	1.0257	0.14984	0.25179	180.85	2.9420	1.7154e-05	0.0063502	vapor
200.00	1.0000	5.1423	0.19447	108.06	127.77	1.0269	0.14982	0.25173	181.31	2.9157	1.7239e-05	0.0063829	vapor
201.00	1.0000	5.1161	0.19546	108.21	128.02	1.0282	0.14980	0.25168	181.78	2.8898	1.7324e-05	0.0064155	vapor
202.00	1.0000	5.0903	0.19645	108.36	128.27	1.0294	0.14978	0.25162	182.24	2.8642	1.7410e-05	0.0064481	vapor
203.00	1.0000	5.0647	0.19744	108.52	128.52	1.0307	0.14976	0.25156	182.70	2.8391	1.7495e-05	0.0064806	vapor
204.00	1.0000	5.0394	0.19844	108.67	128.77	1.0319	0.14974	0.25151	183.16	2.8144	1.7580e-05	0.0065130	vapor
205.00	1.0000	5.0144	0.19943	108.82	129.02	1.0331	0.14972	0.25145	183.62	2.7900	1.7665e-05	0.0065454	vapor
206.00	1.0000	4.9895	0.20042	108.97	129.28	1.0344	0.14970	0.25140	184.07	2.7660	1.7750e-05	0.0065778	vapor
207.00	1.0000	4.9650	0.20141	109.12	129.53	1.0356	0.14968	0.25135	184.53	2.7424	1.7834e-05	0.0066101	vapor
208.00	1.0000	4.9407	0.20240	109.27	129.78	1.0368	0.14966	0.25130	184.98	2.7191	1.7919e-05	0.0066424	vapor
209.00	1.0000	4.9166	0.20339	109.42	130.03	1.0380	0.14965	0.25125	185.44	2.6961	1.8004e-05	0.0066746	vapor
210.00	1.0000	4.8928	0.20438	109.57	130.28	1.0392	0.14963	0.25120	185.89	2.6735	1.8088e-05	0.0067067	vapor
211.00	1.0000	4.8692	0.20537	109.72	130.53	1.0404	0.14961	0.25116	186.34	2.6512	1.8173e-05	0.0067388	vapor
