name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Burlington, VT",2015-01-01T00:00:00,-6.2,-13.5,-14.3,52.4,0,0,,,,,23.2,193,1014.7,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T01:00:00,-5.7,-12.7,-14.3,50.6,0,0,,,,35.3,21.7,199,1014,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T02:00:00,-6.2,-13,-13.3,57.1,0,0,,,,,20.1,190,1013.7,99.7,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T03:00:00,-6.2,-13,-13.8,54.88,0,0,,,,,20,190,1013.2,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T04:00:00,-5.7,-12.4,-13.8,52.98,0,0,,,,,20.1,199,1012.9,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T05:00:00,-5.7,-11.7,-13.8,53.08,0,0,,,,,16.2,219,1013.1,98.4,15.9,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T06:00:00,-5.7,-10.9,-13.8,52.93,0,0,,,,,12.9,209,1013.8,100,15.9,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T07:00:00,-5.7,-11.7,-13.8,52.71,0,0,,,,31.7,16.3,191,1013.2,86.3,16,4,0,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T08:00:00,-6.2,-13.6,-13.3,57.11,0,0,,,,33.5,23.5,190,1013.5,50.5,16,59.7,0.2,1,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T09:00:00,-5,-11.6,-13.3,52.34,0,0,,,,33.5,20.2,190,1013.3,51.6,16,149.1,0.5,1,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T10:00:00,-4.4,-12.3,-13.3,49.82,0,0,,,,40.7,31,199,1013.1,52,16,213.7,0.8,2,,Partially cloudy,wind,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T11:00:00,-3.9,-10.9,-12.8,50.04,0,0,,,,46.2,25.4,199,1012.1,89.5,16,220.8,0.8,2,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T12:00:00,-2.8,-9.8,-12.1,48.67,0,0,,,,40.7,27,189,1011,89.5,16,142.4,0.5,1,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T13:00:00,-2.8,-10.2,-11.7,50.46,0,0,,,,48.2,31.1,189,1009.4,89.5,16,79.3,0.3,1,,Partially cloudy,wind,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T14:00:00,-2.1,-8.7,-11.7,48.15,0,0,,,,47.3,25.4,191,1009.3,88.7,16,44.9,0.2,0,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T15:00:00,-2.1,-8.2,-12.1,46.4,0,0,,,,31.7,21.9,181,1008.8,100,16,19.1,0.1,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T16:00:00,-1.7,-7.9,-12.1,44.79,0,0,,,,42.3,23.7,191,1009.1,100,16,1.2,0,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T17:00:00,-1.7,-7.4,-12.1,44.73,0,0,,,,35.3,20.3,200,1008.9,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T18:00:00,-1.2,-7,-12.1,43.17,0,0,,,,35,22.2,191,1009,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T19:00:00,-1.2,-7.2,-13.2,39.53,0,0,,,,35.3,23.5,190,1009,99.7,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T20:00:00,-1.7,-7.8,-13.2,40.85,0,0,,,,40.6,23.7,190,1009.1,89.1,16,0,,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T21:00:00,-1.7,-7.6,-12.7,42.71,0,0,,,,33.3,22,191,1008.8,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T22:00:00,-1.7,-6.7,-12.6,42.94,0,0,,,,,16.3,200,1009.5,100,16,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-01T23:00:00,-1.7,-6.7,-12,45.36,0,0,,,,,16.3,190,1010.2,100,15.8,0,,0,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2015-01-02T00:00:00,-1.7,-5.6,-11,49.18,0,0,,,,,11,189,1010.1,89.5,15.8,0,,0,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
