name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Burlington, VT",2021-01-01T00:00:00,-3.9,-7.7,-8.8,68.6,0,,,0,6.3,,9,79,1030.1,48.8,16,,,,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T01:00:00,-3.4,-7,-8.8,65.95,0,,,0,6.29,,9.1,59,1030.9,87.8,16,,,,,Partially cloudy,partly-cloudy-night,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T02:00:00,-3.3,-6.5,-8.3,68.81,0,,,0,6.27,,7.5,54,1031.9,100,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T03:00:00,-2.9,-6.9,-8.2,66.44,0,,,0,6.26,,10.8,69,1032.1,99.9,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T04:00:00,-2.2,-5.1,-8.3,63.32,0,,,0,6.25,,7.2,49,1032.4,99.9,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T05:00:00,-2.2,-4.3,-8.3,63.22,0,,,0,6.24,,5.3,67,1032.8,100,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T06:00:00,-2.2,-5.7,-7.8,65.85,0,,,0,6.23,,9,66,1032.9,100,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T07:00:00,-2.2,-2.2,-7.8,65.8,0,,,0,6.22,,0.2,350,1033.4,100,16,,,,,Overcast,cloudy,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T08:00:00,-1.7,-1.7,-7.7,63.5,0,,,0.95,7.17,,0,0,1033.5,100,16,3,0,0,,Overcast,snow,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
"Burlington, VT",2021-01-01T09:00:00,-1.7,-1.7,-7.1,66.41,0,,,0,1.22,,0.1,4,1034.3,86.3,16,21,0.1,0,,Partially cloudy,partly-cloudy-day,"72622564776,ESXV1,KPBG,KBTV,KMVL,72611454771,72617014742"
