name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Burlington, VT",2019-01-01T00:00:00,1.7,-0.8,0.7,92.73,1.48,100,"rain,snow",0,0,42.5,8.4,170,1007,74.3,8.1,5,0,0,,"Snow, Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T01:00:00,2.2,-2.6,1.2,92.7,1.61,100,rain,0,0,54.3,21,189,1002.3,62.4,15.9,5,0,0,,"Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T02:00:00,2.8,-2.2,1.7,92.02,0.02,100,rain,0,0,35.3,24.4,179,999.9,99.8,16,5,0,0,,"Rain, Overcast",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T03:00:00,3.3,-1.4,2.2,92.1,0.82,100,rain,0,0,36.7,22.8,179,998.7,93.8,15.9,5,0,0,,"Rain, Overcast",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T04:00:00,3.8,-2.1,2.2,89.32,0.01,100,rain,0,0,55.2,36.9,170,995.3,31,16,5,0,0,,"Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,A3149"
"Burlington, VT",2019-01-01T05:00:00,4.3,-0.9,2.8,90.06,0.01,100,rain,0,0,50,31.5,169,993.4,74.6,16,5,0,0,,"Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T06:00:00,5.6,0.5,3.8,88.39,0,0,,0,0,51.7,34.7,170,992.5,63.2,16,5,0,0,,Partially cloudy,wind,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T07:00:00,6.1,1,3.8,85.5,0.02,100,rain,0,0,50,36.3,207,993.4,62.6,15.8,6,0,0,,"Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T08:00:00,6.2,2.8,4.3,87.93,1.26,100,rain,0,0,27.7,18.2,271,998,63.2,16,54,0.2,1,,"Rain, Partially cloudy",rain,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
"Burlington, VT",2019-01-01T09:00:00,3.4,-2,-0.6,75.11,0,0,,0,0,50.8,29.5,320,1002,39.6,16,53,0.2,1,,Partially cloudy,partly-cloudy-day,"72622564776,KPBG,KBTV,KMVL,72611454771,72617014742,A3149"
