Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
200.00,1.00,2.4413,0.52369,1.5951E-05,0.012466
201.00,1.00,2.429,0.52364,1.6023E-05,0.012522
202.00,1.00,2.4169,0.5236,1.6095E-05,0.012578
203.00,1.00,2.4049,0.52356,1.6167E-05,0.012634
204.00,1.00,2.393,0.52351,1.6238E-05,0.01269
205.00,1.00,2.3812,0.52347,1.631E-05,0.012746
206.00,1.00,2.3695,0.52343,1.6381E-05,0.012802
207.00,1.00,2.358,0.5234,1.6453E-05,0.012857
208.00,1.00,2.3466,0.52336,1.6524E-05,0.012913
209.00,1.00,2.3352,0.52332,1.6595E-05,0.012968
210.00,1.00,2.324,0.52328,1.6666E-05,0.013024
211.00,1.00,2.3129,0.52325,1.6737E-05,0.013079
212.00,1.00,2.3019,0.52321,1.6808E-05,0.013134
213.00,1.00,2.291,0.52318,1.6878E-05,0.01319
214.00,1.00,2.2802,0.52314,1.6949E-05,0.013245
215.00,1.00,2.2695,0.52311,1.7019E-05,0.0133
216.00,1.00,2.259,0.52307,1.709E-05,0.013355
217.00,1.00,2.2485,0.52304,1.716E-05,0.01341
218.00,1.00,2.2381,0.52301,1.723E-05,0.013464
219.00,1.00,2.2278,0.52298,1.73E-05,0.013519
220.00,1.00,2.2176,0.52295,1.737E-05,0.013574
221.00,1.00,2.2075,0.52292,1.744E-05,0.013628
222.00,1.00,2.1975,0.52289,1.751E-05,0.013683
223.00,1.00,2.1875,0.52286,1.758E-05,0.013737
224.00,1.00,2.1777,0.52283,1.7649E-05,0.013792
225.00,1.00,2.168,0.5228,1.7719E-05,0.013846
226.00,1.00,2.1583,0.52277,1.7788E-05,0.0139
227.00,1.00,2.1487,0.52275,1.7857E-05,0.013954
228.00,1.00,2.1392,0.52272,1.7927E-05,0.014008
229.00,1.00,2.1298,0.52269,1.7996E-05,0.014062
230.00,1.00,2.1205,0.52267,1.8065E-05,0.014116
231.00,1.00,2.1113,0.52264,1.8134E-05,0.01417
232.00,1.00,2.1021,0.52262,1.8202E-05,0.014223
233.00,1.00,2.093,0.52259,1.8271E-05,0.014277
234.00,1.00,2.084,0.52257,1.834E-05,0.014331
235.00,1.00,2.0751,0.52254,1.8408E-05,0.014384
236.00,1.00,2.0663,0.52252,1.8477E-05,0.014438
237.00,1.00,2.0575,0.52249,1.8545E-05,0.014491
238.00,1.00,2.0488,0.52247,1.8613E-05,0.014544
239.00,1.00,2.0402,0.52245,1.8682E-05,0.014597
240.00,1.00,2.0316,0.52243,1.875E-05,0.014651
241.00,1.00,2.0232,0.52241,1.8818E-05,0.014704
242.00,1.00,2.0147,0.52238,1.8886E-05,0.014757
243.00,1.00,2.0064,0.52236,1.8953E-05,0.01481
244.00,1.00,1.9981,0.52234,1.9021E-05,0.014862
245.00,1.00,1.9899,0.52232,1.9089E-05,0.014915
246.00,1.00,1.9818,0.5223,1.9156E-05,0.014968
247.00,1.00,1.9737,0.52228,1.9224E-05,0.015021
248.00,1.00,1.9657,0.52226,1.9291E-05,0.015073
249.00,1.00,1.9578,0.52224,1.9358E-05,0.015126
250.00,1.00,1.9499,0.52222,1.9426E-05,0.015178
251.00,1.00,1.9421,0.5222,1.9493E-05,0.01523
252.00,1.00,1.9344,0.52219,1.956E-05,0.015283
253.00,1.00,1.9267,0.52217,1.9627E-05,0.015335
254.00,1.00,1.9191,0.52215,1.9693E-05,0.015387
255.00,1.00,1.9115,0.52213,1.976E-05,0.015439
256.00,1.00,1.904,0.52211,1.9827E-05,0.015491
257.00,1.00,1.8966,0.5221,1.9893E-05,0.015543
258.00,1.00,1.8892,0.52208,1.996E-05,0.015595
259.00,1.00,1.8819,0.52206,2.0026E-05,0.015647
260.00,1.00,1.8746,0.52205,2.0092E-05,0.015698
261.00,1.00,1.8674,0.52203,2.0159E-05,0.01575
262.00,1.00,1.8602,0.52201,2.0225E-05,0.015802
263.00,1.00,1.8531,0.522,2.0291E-05,0.015853
264.00,1.00,1.8461,0.52198,2.0357E-05,0.015905
265.00,1.00,1.8391,0.52197,2.0423E-05,0.015956
266.00,1.00,1.8321,0.52195,2.0488E-05,0.016007
267.00,1.00,1.8252,0.52194,2.0554E-05,0.016059
268.00,1.00,1.8184,0.52192,2.062E-05,0.01611
269.00,1.00,1.8116,0.52191,2.0685E-05,0.016161
270.00,1.00,1.8049,0.52189,2.0751E-05,0.016212
271.00,1.00,1.7982,0.52188,2.0816E-05,0.016263
272.00,1.00,1.7915,0.52186,2.0881E-05,0.016314
273.00,1.00,1.7849,0.52185,2.0947E-05,0.016365
274.00,1.00,1.7784,0.52184,2.1012E-05,0.016416
275.00,1.00,1.7719,0.52182,2.1077E-05,0.016466
276.00,1.00,1.7655,0.52181,2.1142E-05,0.016517
277.00,1.00,1.7591,0.5218,2.1206E-05,0.016568
278.00,1.00,1.7527,0.52178,2.1271E-05,0.016618
279.00,1.00,1.7464,0.52177,2.1336E-05,0.016669
280.00,1.00,1.7401,0.52176,2.1401E-05,0.016719
281.00,1.00,1.7339,0.52175,2.1465E-05,0.01677
282.00,1.00,1.7278,0.52173,2.153E-05,0.01682
283.00,1.00,1.7216,0.52172,2.1594E-05,0.01687
284.00,1.00,1.7155,0.52171,2.1658E-05,0.01692
285.00,1.00,1.7095,0.5217,2.1722E-05,0.01697
286.00,1.00,1.7035,0.52169,2.1787E-05,0.01702
287.00,1.00,1.6976,0.52168,2.1851E-05,0.01707
288.00,1.00,1.6916,0.52166,2.1915E-05,0.01712
289.00,1.00,1.6858,0.52165,2.1978E-05,0.01717
290.00,1.00,1.6799,0.52164,2.2042E-05,0.01722
291.00,1.00,1.6741,0.52163,2.2106E-05,0.01727
292.00,1.00,1.6684,0.52162,2.217E-05,0.017319
293.00,1.00,1.6627,0.52161,2.2233E-05,0.017369
294.00,1.00,1.657,0.5216,2.2297E-05,0.017418
295.00,1.00,1.6514,0.52159,2.236E-05,0.017468
296.00,1.00,1.6458,0.52158,2.2423E-05,0.017517
297.00,1.00,1.6402,0.52157,2.2487E-05,0.017567
298.00,1.00,1.6347,0.52156,2.255E-05,0.017616
299.00,1.00,1.6292,0.52155,2.2613E-05,0.017665
300.00,1.00,1.6238,0.52154,2.2676E-05,0.017714
301.00,1.00,1.6183,0.52153,2.2739E-05,0.017764
302.00,1.00,1.613,0.52152,2.2802E-05,0.017813
303.00,1.00,1.6076,0.52151,2.2865E-05,0.017862
304.00,1.00,1.6023,0.5215,2.2927E-05,0.017911
305.00,1.00,1.5971,0.52149,2.299E-05,0.017959
306.00,1.00,1.5918,0.52148,2.3053E-05,0.018008
307.00,1.00,1.5866,0.52147,2.3115E-05,0.018057
308.00,1.00,1.5815,0.52146,2.3178E-05,0.018106
309.00,1.00,1.5763,0.52145,2.324E-05,0.018154
310.00,1.00,1.5712,0.52145,2.3302E-05,0.018203
311.00,1.00,1.5662,0.52144,2.3364E-05,0.018252
312.00,1.00,1.5611,0.52143,2.3426E-05,0.0183
313.00,1.00,1.5561,0.52142,2.3489E-05,0.018348
314.00,1.00,1.5512,0.52141,2.3551E-05,0.018397
315.00,1.00,1.5462,0.5214,2.3612E-05,0.018445
316.00,1.00,1.5413,0.5214,2.3674E-05,0.018493
317.00,1.00,1.5364,0.52139,2.3736E-05,0.018542
318.00,1.00,1.5316,0.52138,2.3798E-05,0.01859
319.00,1.00,1.5268,0.52137,2.3859E-05,0.018638
320.00,1.00,1.522,0.52136,2.3921E-05,0.018686
321.00,1.00,1.5172,0.52136,2.3982E-05,0.018734
322.00,1.00,1.5125,0.52135,2.4044E-05,0.018782
323.00,1.00,1.5078,0.52134,2.4105E-05,0.018829
324.00,1.00,1.5032,0.52133,2.4166E-05,0.018877
325.00,1.00,1.4985,0.52133,2.4227E-05,0.018925
326.00,1.00,1.4939,0.52132,2.4289E-05,0.018973
327.00,1.00,1.4893,0.52131,2.435E-05,0.01902
328.00,1.00,1.4848,0.5213,2.4411E-05,0.019068
329.00,1.00,1.4803,0.5213,2.4471E-05,0.019115
330.00,1.00,1.4758,0.52129,2.4532E-05,0.019163
331.00,1.00,1.4713,0.52128,2.4593E-05,0.01921
332.00,1.00,1.4669,0.52128,2.4654E-05,0.019258
333.00,1.00,1.4624,0.52127,2.4714E-05,0.019305
334.00,1.00,1.4581,0.52126,2.4775E-05,0.019352
335.00,1.00,1.4537,0.52126,2.4835E-05,0.019399
336.00,1.00,1.4494,0.52125,2.4896E-05,0.019447
337.00,1.00,1.445,0.52124,2.4956E-05,0.019494
338.00,1.00,1.4408,0.52124,2.5016E-05,0.019541
339.00,1.00,1.4365,0.52123,2.5077E-05,0.019588
340.00,1.00,1.4323,0.52122,2.5137E-05,0.019635
341.00,1.00,1.4281,0.52122,2.5197E-05,0.019681
342.00,1.00,1.4239,0.52121,2.5257E-05,0.019728
343.00,1.00,1.4197,0.52121,2.5317E-05,0.019775
344.00,1.00,1.4156,0.5212,2.5377E-05,0.019822
345.00,1.00,1.4115,0.52119,2.5436E-05,0.019868
346.00,1.00,1.4074,0.52119,2.5496E-05,0.019915
347.00,1.00,1.4033,0.52118,2.5556E-05,0.019962
348.00,1.00,1.3993,0.52118,2.5615E-05,0.020008
349.00,1.00,1.3953,0.52117,2.5675E-05,0.020054
350.00,1.00,1.3913,0.52116,2.5734E-05,0.020101
351.00,1.00,1.3873,0.52116,2.5794E-05,0.020147
352.00,1.00,1.3833,0.52115,2.5853E-05,0.020193
353.00,1.00,1.3794,0.52115,2.5912E-05,0.02024
354.00,1.00,1.3755,0.52114,2.5972E-05,0.020286
355.00,1.00,1.3716,0.52114,2.6031E-05,0.020332
356.00,1.00,1.3678,0.52113,2.609E-05,0.020378
357.00,1.00,1.3639,0.52113,2.6149E-05,0.020424
358.00,1.00,1.3601,0.52112,2.6208E-05,0.02047
359.00,1.00,1.3563,0.52112,2.6267E-05,0.020516
360.00,1.00,1.3525,0.52111,2.6325E-05,0.020562
361.00,1.00,1.3488,0.52111,2.6384E-05,0.020608
362.00,1.00,1.3451,0.5211,2.6443E-05,0.020654
363.00,1.00,1.3413,0.5211,2.6502E-05,0.020699
364.00,1.00,1.3377,0.52109,2.656E-05,0.020745
365.00,1.00,1.334,0.52109,2.6619E-05,0.020791
366.00,1.00,1.3303,0.52108,2.6677E-05,0.020836
367.00,1.00,1.3267,0.52108,2.6735E-05,0.020882
368.00,1.00,1.3231,0.52107,2.6794E-05,0.020927
369.00,1.00,1.3195,0.52107,2.6852E-05,0.020973
370.00,1.00,1.3159,0.52106,2.691E-05,0.021018
371.00,1.00,1.3124,0.52106,2.6968E-05,0.021064
372.00,1.00,1.3088,0.52105,2.7026E-05,0.021109
373.00,1.00,1.3053,0.52105,2.7084E-05,0.021154
374.00,1.00,1.3018,0.52104,2.7142E-05,0.021199
375.00,1.00,1.2984,0.52104,2.72E-05,0.021244
376.00,1.00,1.2949,0.52104,2.7258E-05,0.02129
377.00,1.00,1.2915,0.52103,2.7316E-05,0.021335
378.00,1.00,1.288,0.52103,2.7373E-05,0.02138
379.00,1.00,1.2846,0.52102,2.7431E-05,0.021425
380.00,1.00,1.2812,0.52102,2.7488E-05,0.021469
381.00,1.00,1.2779,0.52101,2.7546E-05,0.021514
382.00,1.00,1.2745,0.52101,2.7603E-05,0.021559
383.00,1.00,1.2712,0.52101,2.7661E-05,0.021604
384.00,1.00,1.2679,0.521,2.7718E-05,0.021649
385.00,1.00,1.2646,0.521,2.7775E-05,0.021693
386.00,1.00,1.2613,0.52099,2.7833E-05,0.021738
387.00,1.00,1.258,0.52099,2.789E-05,0.021783
388.00,1.00,1.2548,0.52098,2.7947E-05,0.021827
389.00,1.00,1.2516,0.52098,2.8004E-05,0.021872
390.00,1.00,1.2483,0.52098,2.8061E-05,0.021916
391.00,1.00,1.2452,0.52097,2.8118E-05,0.02196
392.00,1.00,1.242,0.52097,2.8175E-05,0.022005
393.00,1.00,1.2388,0.52097,2.8231E-05,0.022049
394.00,1.00,1.2357,0.52096,2.8288E-05,0.022093
395.00,1.00,1.2325,0.52096,2.8345E-05,0.022138
396.00,1.00,1.2294,0.52095,2.8401E-05,0.022182
397.00,1.00,1.2263,0.52095,2.8458E-05,0.022226
398.00,1.00,1.2232,0.52095,2.8514E-05,0.02227
399.00,1.00,1.2202,0.52094,2.8571E-05,0.022314
400.00,1.00,1.2171,0.52094,2.8627E-05,0.022358
401.00,1.00,1.2141,0.52094,2.8683E-05,0.022402
402.00,1.00,1.211,0.52093,2.874E-05,0.022446
403.00,1.00,1.208,0.52093,2.8796E-05,0.02249
404.00,1.00,1.205,0.52093,2.8852E-05,0.022533
405.00,1.00,1.2021,0.52092,2.8908E-05,0.022577
406.00,1.00,1.1991,0.52092,2.8964E-05,0.022621
407.00,1.00,1.1961,0.52092,2.902E-05,0.022665
408.00,1.00,1.1932,0.52091,2.9076E-05,0.022708
409.00,1.00,1.1903,0.52091,2.9132E-05,0.022752
410.00,1.00,1.1874,0.52091,2.9188E-05,0.022795
411.00,1.00,1.1845,0.5209,2.9244E-05,0.022839
412.00,1.00,1.1816,0.5209,2.9299E-05,0.022882
413.00,1.00,1.1787,0.5209,2.9355E-05,0.022926
414.00,1.00,1.1759,0.52089,2.941E-05,0.022969
415.00,1.00,1.1731,0.52089,2.9466E-05,0.023012
416.00,1.00,1.1702,0.52089,2.9521E-05,0.023056
417.00,1.00,1.1674,0.52088,2.9577E-05,0.023099
418.00,1.00,1.1646,0.52088,2.9632E-05,0.023142
419.00,1.00,1.1618,0.52088,2.9688E-05,0.023185
420.00,1.00,1.1591,0.52087,2.9743E-05,0.023228
421.00,1.00,1.1563,0.52087,2.9798E-05,0.023272
422.00,1.00,1.1536,0.52087,2.9853E-05,0.023315
423.00,1.00,1.1508,0.52087,2.9908E-05,0.023358
424.00,1.00,1.1481,0.52086,2.9963E-05,0.023401
425.00,1.00,1.1454,0.52086,3.0018E-05,0.023443
426.00,1.00,1.1427,0.52086,3.0073E-05,0.023486
427.00,1.00,1.1401,0.52085,3.0128E-05,0.023529
428.00,1.00,1.1374,0.52085,3.0183E-05,0.023572
429.00,1.00,1.1347,0.52085,3.0238E-05,0.023615
430.00,1.00,1.1321,0.52085,3.0292E-05,0.023657
431.00,1.00,1.1295,0.52084,3.0347E-05,0.0237
432.00,1.00,1.1268,0.52084,3.0402E-05,0.023743
433.00,1.00,1.1242,0.52084,3.0456E-05,0.023785
434.00,1.00,1.1216,0.52083,3.0511E-05,0.023828
435.00,1.00,1.1191,0.52083,3.0565E-05,0.02387
436.00,1.00,1.1165,0.52083,3.062E-05,0.023913
437.00,1.00,1.1139,0.52083,3.0674E-05,0.023955
438.00,1.00,1.1114,0.52082,3.0728E-05,0.023997
439.00,1.00,1.1089,0.52082,3.0783E-05,0.02404
440.00,1.00,1.1063,0.52082,3.0837E-05,0.024082
441.00,1.00,1.1038,0.52082,3.0891E-05,0.024124
442.00,1.00,1.1013,0.52081,3.0945E-05,0.024166
443.00,1.00,1.0988,0.52081,3.0999E-05,0.024209
444.00,1.00,1.0964,0.52081,3.1053E-05,0.024251
445.00,1.00,1.0939,0.52081,3.1107E-05,0.024293
446.00,1.00,1.0914,0.5208,3.1161E-05,0.024335
447.00,1.00,1.089,0.5208,3.1215E-05,0.024377
448.00,1.00,1.0866,0.5208,3.1268E-05,0.024419
449.00,1.00,1.0841,0.5208,3.1322E-05,0.024461
450.00,1.00,1.0817,0.52079,3.1376E-05,0.024503
451.00,1.00,1.0793,0.52079,3.143E-05,0.024545
452.00,1.00,1.0769,0.52079,3.1483E-05,0.024586
453.00,1.00,1.0746,0.52079,3.1537E-05,0.024628
454.00,1.00,1.0722,0.52078,3.159E-05,0.02467
455.00,1.00,1.0698,0.52078,3.1644E-05,0.024712
456.00,1.00,1.0675,0.52078,3.1697E-05,0.024753
457.00,1.00,1.0652,0.52078,3.175E-05,0.024795
458.00,1.00,1.0628,0.52078,3.1804E-05,0.024836
459.00,1.00,1.0605,0.52077,3.1857E-05,0.024878
460.00,1.00,1.0582,0.52077,3.191E-05,0.024919
461.00,1.00,1.0559,0.52077,3.1963E-05,0.024961
462.00,1.00,1.0536,0.52077,3.2016E-05,0.025002
463.00,1.00,1.0513,0.52076,3.2069E-05,0.025044
464.00,1.00,1.0491,0.52076,3.2122E-05,0.025085
465.00,1.00,1.0468,0.52076,3.2175E-05,0.025126
466.00,1.00,1.0446,0.52076,3.2228E-05,0.025168
467.00,1.00,1.0423,0.52076,3.2281E-05,0.025209
468.00,1.00,1.0401,0.52075,3.2334E-05,0.02525
469.00,1.00,1.0379,0.52075,3.2387E-05,0.025291
470.00,1.00,1.0357,0.52075,3.2439E-05,0.025332
471.00,1.00,1.0335,0.52075,3.2492E-05,0.025373
472.00,1.00,1.0313,0.52075,3.2544E-05,0.025415
473.00,1.00,1.0291,0.52074,3.2597E-05,0.025456
474.00,1.00,1.0269,0.52074,3.265E-05,0.025497
475.00,1.00,1.0248,0.52074,3.2702E-05,0.025537
476.00,1.00,1.0226,0.52074,3.2754E-05,0.025578
477.00,1.00,1.0205,0.52074,3.2807E-05,0.025619
478.00,1.00,1.0183,0.52073,3.2859E-05,0.02566
479.00,1.00,1.0162,0.52073,3.2911E-05,0.025701
480.00,1.00,1.0141,0.52073,3.2964E-05,0.025742
481.00,1.00,1.012,0.52073,3.3016E-05,0.025782
482.00,1.00,1.0099,0.52073,3.3068E-05,0.025823
483.00,1.00,1.0078,0.52072,3.312E-05,0.025864
484.00,1.00,1.0057,0.52072,3.3172E-05,0.025904
485.00,1.00,1.0036,0.52072,3.3224E-05,0.025945
486.00,1.00,1.0015,0.52072,3.3276E-05,0.025985
487.00,1.00,0.99949,0.52072,3.3328E-05,0.026026
488.00,1.00,0.99744,0.52072,3.338E-05,0.026066
489.00,1.00,0.9954,0.52071,3.3432E-05,0.026107
490.00,1.00,0.99337,0.52071,3.3483E-05,0.026147
491.00,1.00,0.99134,0.52071,3.3535E-05,0.026188
492.00,1.00,0.98933,0.52071,3.3587E-05,0.026228
493.00,1.00,0.98732,0.52071,3.3638E-05,0.026268
494.00,1.00,0.98532,0.5207,3.369E-05,0.026308
495.00,1.00,0.98333,0.5207,3.3742E-05,0.026349
496.00,1.00,0.98134,0.5207,3.3793E-05,0.026389
497.00,1.00,0.97937,0.5207,3.3844E-05,0.026429
498.00,1.00,0.9774,0.5207,3.3896E-05,0.026469
499.00,1.00,0.97544,0.5207,3.3947E-05,0.026509
500.00,1.00,0.97349,0.52069,3.3999E-05,0.026549
501.00,1.00,0.97154,0.52069,3.405E-05,0.026589
502.00,1.00,0.96961,0.52069,3.4101E-05,0.026629
503.00,1.00,0.96768,0.52069,3.4152E-05,0.026669
504.00,1.00,0.96576,0.52069,3.4203E-05,0.026709
505.00,1.00,0.96384,0.52069,3.4255E-05,0.026749
506.00,1.00,0.96194,0.52068,3.4306E-05,0.026789
507.00,1.00,0.96004,0.52068,3.4357E-05,0.026828
508.00,1.00,0.95815,0.52068,3.4408E-05,0.026868
509.00,1.00,0.95627,0.52068,3.4458E-05,0.026908
510.00,1.00,0.95439,0.52068,3.4509E-05,0.026948
511.00,1.00,0.95252,0.52068,3.456E-05,0.026987
512.00,1.00,0.95066,0.52067,3.4611E-05,0.027027
513.00,1.00,0.94881,0.52067,3.4662E-05,0.027067
514.00,1.00,0.94696,0.52067,3.4712E-05,0.027106
515.00,1.00,0.94512,0.52067,3.4763E-05,0.027146
516.00,1.00,0.94329,0.52067,3.4814E-05,0.027185
517.00,1.00,0.94146,0.52067,3.4864E-05,0.027225
518.00,1.00,0.93964,0.52067,3.4915E-05,0.027264
519.00,1.00,0.93783,0.52066,3.4965E-05,0.027303
520.00,1.00,0.93603,0.52066,3.5016E-05,0.027343
521.00,1.00,0.93423,0.52066,3.5066E-05,0.027382
522.00,1.00,0.93244,0.52066,3.5117E-05,0.027421
523.00,1.00,0.93066,0.52066,3.5167E-05,0.027461
524.00,1.00,0.92888,0.52066,3.5217E-05,0.0275
525.00,1.00,0.92711,0.52066,3.5267E-05,0.027539
526.00,1.00,0.92535,0.52065,3.5318E-05,0.027578
527.00,1.00,0.92359,0.52065,3.5368E-05,0.027617
528.00,1.00,0.92184,0.52065,3.5418E-05,0.027657
529.00,1.00,0.9201,0.52065,3.5468E-05,0.027696
530.00,1.00,0.91836,0.52065,3.5518E-05,0.027735
