Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
144.00	1.0000	3.4078	0.29344	44.495	74.228	3.4916	0.31417	0.52868	222.79	2.3624	1.1752e-05	0.0091787	vapor
145.00	1.0000	3.3838	0.29553	44.812	74.757	3.4953	0.31412	0.52851	223.58	2.3344	1.1830e-05	0.0092401	vapor
146.00	1.0000	3.3601	0.29761	45.130	75.285	3.4989	0.31407	0.52835	224.37	2.3069	1.1908e-05	0.0093014	vapor
147.00	1.0000	3.3367	0.29970	45.447	75.814	3.5025	0.31403	0.52819	225.15	2.2800	1.1986e-05	0.0093626	vapor
148.00	1.0000	3.3137	0.30178	45.764	76.342	3.5061	0.31398	0.52803	225.93	2.2537	1.2063e-05	0.0094236	vapor
149.00	1.0000	3.2909	0.30386	46.081	76.870	3.5097	0.31394	0.52788	226.71	2.2278	1.2141e-05	0.0094846	vapor
150.00	1.0000	3.2685	0.30595	46.397	77.398	3.5132	0.31390	0.52774	227.49	2.2024	1.2219e-05	0.0095454	vapor
151.00	1.0000	3.2465	0.30803	46.714	77.925	3.5167	0.31386	0.52760	228.26	2.1775	1.2296e-05	0.0096062	vapor
152.00	1.0000	3.2247	0.31011	47.031	78.453	3.5202	0.31382	0.52746	229.03	2.1530	1.2373e-05	0.0096668	vapor
153.00	1.0000	3.2032	0.31219	47.347	78.980	3.5236	0.31378	0.52733	229.80	2.1290	1.2450e-05	0.0097274	vapor
154.00	1.0000	3.1820	0.31427	47.664	79.507	3.5271	0.31374	0.52720	230.56	2.1055	1.2527e-05	0.0097878	vapor
155.00	1.0000	3.1610	0.31635	47.980	80.035	3.5305	0.31371	0.52707	231.32	2.0823	1.2604e-05	0.0098482	vapor
156.00	1.0000	3.1404	0.31843	48.297	80.562	3.5339	0.31367	0.52695	232.08	2.0596	1.2681e-05	0.0099084	vapor
157.00	1.0000	3.1200	0.32051	48.613	81.088	3.5372	0.31364	0.52683	232.84	2.0373	1.2758e-05	0.0099686	vapor
158.00	1.0000	3.0999	0.32259	48.929	81.615	3.5406	0.31361	0.52672	233.59	2.0154	1.2835e-05	0.010029	vapor
159.00	1.0000	3.0801	0.32467	49.245	82.142	3.5439	0.31358	0.52660	234.34	1.9939	1.2911e-05	0.010089	vapor
160.00	1.0000	3.0605	0.32674	49.561	82.668	3.5472	0.31355	0.52649	235.09	1.9727	1.2987e-05	0.010148	vapor
161.00	1.0000	3.0412	0.32882	49.877	83.195	3.5505	0.31352	0.52638	235.84	1.9519	1.3064e-05	0.010208	vapor
162.00	1.0000	3.0221	0.33090	50.193	83.721	3.5538	0.31349	0.52628	236.58	1.9315	1.3140e-05	0.010268	vapor
163.00	1.0000	3.0032	0.33298	50.509	84.247	3.5570	0.31346	0.52618	237.32	1.9114	1.3216e-05	0.010327	vapor
164.00	1.0000	2.9846	0.33505	50.824	84.774	3.5602	0.31343	0.52608	238.06	1.8917	1.3292e-05	0.010387	vapor
165.00	1.0000	2.9662	0.33713	51.140	85.300	3.5634	0.31341	0.52598	238.80	1.8723	1.3368e-05	0.010446	vapor
166.00	1.0000	2.9481	0.33920	51.456	85.825	3.5666	0.31338	0.52589	239.53	1.8532	1.3443e-05	0.010505	vapor
167.00	1.0000	2.9301	0.34128	51.771	86.351	3.5697	0.31336	0.52580	240.26	1.8344	1.3519e-05	0.010565	vapor
168.00	1.0000	2.9124	0.34336	52.087	86.877	3.5729	0.31333	0.52571	240.99	1.8159	1.3594e-05	0.010624	vapor
169.00	1.0000	2.8949	0.34543	52.402	87.403	3.5760	0.31331	0.52562	241.72	1.7977	1.3670e-05	0.010683	vapor
170.00	1.0000	2.8777	0.34750	52.717	87.928	3.5791	0.31329	0.52553	242.44	1.7798	1.3745e-05	0.010741	vapor
171.00	1.0000	2.8606	0.34958	53.033	88.454	3.5822	0.31327	0.52545	243.16	1.7622	1.3820e-05	0.010800	vapor
172.00	1.0000	2.8437	0.35165	53.348	88.979	3.5852	0.31325	0.52537	243.88	1.7449	1.3895e-05	0.010859	vapor
173.00	1.0000	2.8270	0.35373	53.663	89.505	3.5883	0.31322	0.52529	244.60	1.7279	1.3970e-05	0.010917	vapor
174.00	1.0000	2.8106	0.35580	53.978	90.030	3.5913	0.31320	0.52521	245.32	1.7111	1.4045e-05	0.010976	vapor
175.00	1.0000	2.7943	0.35787	54.294	90.555	3.5943	0.31318	0.52513	246.03	1.6946	1.4120e-05	0.011034	vapor
176.00	1.0000	2.7782	0.35995	54.609	91.080	3.5973	0.31317	0.52506	246.74	1.6783	1.4194e-05	0.011093	vapor
177.00	1.0000	2.7623	0.36202	54.924	91.605	3.6003	0.31315	0.52499	247.45	1.6623	1.4269e-05	0.011151	vapor
178.00	1.0000	2.7466	0.36409	55.239	92.130	3.6033	0.31313	0.52491	248.16	1.6465	1.4343e-05	0.011209	vapor
179.00	1.0000	2.7310	0.36616	55.554	92.655	3.6062	0.31311	0.52485	248.86	1.6310	1.4417e-05	0.011267	vapor
